Seed: 1407804330

FeedForward
	Loss: CrossEntropy

Convolutional
	Input Channels: 3
	Output Channels:64

MaxPool
	Channels: 64

Convolutional
	Input Channels: 64
	Output Channels:64

MaxPool
	Channels: 64

FullyConnected
	Inputs: 1600
	Outputs: 64

FullyConnected
	Inputs: 64
	Outputs: 10


Epoch: 1	Training time: 162.042	Training Accuracy: 0.52013	Test Accuracy: 0.5086
Epoch: 2	Training time: 161.384	Training Accuracy: 0.61455	Test Accuracy: 0.5985
Epoch: 3	Training time: 161.061	Training Accuracy: 0.67988	Test Accuracy: 0.6447
Epoch: 4	Training time: 160.886	Training Accuracy: 0.71766	Test Accuracy: 0.6762
Epoch: 5	Training time: 160.649	Training Accuracy: 0.7403	Test Accuracy: 0.694
Epoch: 6	Training time: 161.074	Training Accuracy: 0.74648	Test Accuracy: 0.6923
Epoch: 7	Training time: 160.302	Training Accuracy: 0.783	Test Accuracy: 0.7104
Epoch: 8	Training time: 160.148	Training Accuracy: 0.7987	Test Accuracy: 0.7247
Epoch: 9	Training time: 160.143	Training Accuracy: 0.80716	Test Accuracy: 0.7269
Epoch: 10	Training time: 156.555	Training Accuracy: 0.81775	Test Accuracy: 0.7333
Epoch: 11	Training time: 157.794	Training Accuracy: 0.81784	Test Accuracy: 0.727
Epoch: 12	Training time: 156.72	Training Accuracy: 0.82328	Test Accuracy: 0.7314
Epoch: 13	Training time: 156.87	Training Accuracy: 0.82893	Test Accuracy: 0.738
Epoch: 14	Training time: 156.98	Training Accuracy: 0.82536	Test Accuracy: 0.7341
Epoch: 15	Training time: 156.982	Training Accuracy: 0.83395	Test Accuracy: 0.7338
Epoch: 16	Training time: 157.583	Training Accuracy: 0.89445	Test Accuracy: 0.7707
Epoch: 17	Training time: 158.316	Training Accuracy: 0.90362	Test Accuracy: 0.7711
Epoch: 18	Training time: 158.099	Training Accuracy: 0.90778	Test Accuracy: 0.774
Epoch: 19	Training time: 158.267	Training Accuracy: 0.91679	Test Accuracy: 0.7715
Epoch: 20	Training time: 158.372	Training Accuracy: 0.92183	Test Accuracy: 0.7738
Epoch: 21	Training time: 158.439	Training Accuracy: 0.92512	Test Accuracy: 0.776
Epoch: 22	Training time: 158.579	Training Accuracy: 0.9257	Test Accuracy: 0.7761
Epoch: 23	Training time: 158.865	Training Accuracy: 0.92665	Test Accuracy: 0.7745
Epoch: 24	Training time: 158.274	Training Accuracy: 0.92688	Test Accuracy: 0.7759
Epoch: 25	Training time: 158.467	Training Accuracy: 0.92746	Test Accuracy: 0.7753
