Starting...
Epoch: 1	Training accuracy: 0.0172222	Validation Accuracy: 0.014
Epoch: 2	Training accuracy: 0.0326667	Validation Accuracy: 0.034
Epoch: 3	Training accuracy: 0.039	Validation Accuracy: 0.035
Epoch: 4	Training accuracy: 0.0707778	Validation Accuracy: 0.062
Epoch: 5	Training accuracy: 0.0951111	Validation Accuracy: 0.076
Epoch: 6	Training accuracy: 0.134111	Validation Accuracy: 0.108
Epoch: 7	Training accuracy: 0.168	Validation Accuracy: 0.138
Epoch: 8	Training accuracy: 0.210667	Validation Accuracy: 0.175
Epoch: 9	Training accuracy: 0.231889	Validation Accuracy: 0.207
Epoch: 10	Training accuracy: 0.262333	Validation Accuracy: 0.21
Epoch: 11	Training accuracy: 0.291333	Validation Accuracy: 0.233
Epoch: 12	Training accuracy: 0.311	Validation Accuracy: 0.26
Epoch: 13	Training accuracy: 0.345667	Validation Accuracy: 0.275
Epoch: 14	Training accuracy: 0.375222	Validation Accuracy: 0.299
Epoch: 15	Training accuracy: 0.386	Validation Accuracy: 0.313
Epoch: 16	Training accuracy: 0.395556	Validation Accuracy: 0.305
Epoch: 17	Training accuracy: 0.422	Validation Accuracy: 0.325
Epoch: 18	Training accuracy: 0.457889	Validation Accuracy: 0.359
Epoch: 19	Training accuracy: 0.456556	Validation Accuracy: 0.362
Epoch: 20	Training accuracy: 0.485	Validation Accuracy: 0.368
Epoch: 21	Training accuracy: 0.501778	Validation Accuracy: 0.385
Epoch: 22	Training accuracy: 0.525889	Validation Accuracy: 0.393
Epoch: 23	Training accuracy: 0.537333	Validation Accuracy: 0.385
Epoch: 24	Training accuracy: 0.556	Validation Accuracy: 0.404
Epoch: 25	Training accuracy: 0.567778	Validation Accuracy: 0.406
Epoch: 26	Training accuracy: 0.583333	Validation Accuracy: 0.409
Epoch: 27	Training accuracy: 0.597667	Validation Accuracy: 0.411
Epoch: 28	Training accuracy: 0.611444	Validation Accuracy: 0.402
Epoch: 29	Training accuracy: 0.610111	Validation Accuracy: 0.418
Epoch: 30	Training accuracy: 0.629111	Validation Accuracy: 0.426
Epoch: 31	Training accuracy: 0.641667	Validation Accuracy: 0.417
Epoch: 32	Training accuracy: 0.659111	Validation Accuracy: 0.417
Epoch: 33	Training accuracy: 0.654444	Validation Accuracy: 0.416
Epoch: 34	Training accuracy: 0.663333	Validation Accuracy: 0.411
Epoch: 35	Training accuracy: 0.673	Validation Accuracy: 0.419
Epoch: 36	Training accuracy: 0.697556	Validation Accuracy: 0.431
Epoch: 37	Training accuracy: 0.705778	Validation Accuracy: 0.446
Epoch: 38	Training accuracy: 0.711333	Validation Accuracy: 0.417
Epoch: 39	Training accuracy: 0.735444	Validation Accuracy: 0.427
Epoch: 40	Training accuracy: 0.731	Validation Accuracy: 0.419
Epoch: 41	Training accuracy: 0.761444	Validation Accuracy: 0.444
Epoch: 42	Training accuracy: 0.758889	Validation Accuracy: 0.418
Epoch: 43	Training accuracy: 0.768333	Validation Accuracy: 0.43
Epoch: 44	Training accuracy: 0.768	Validation Accuracy: 0.436
Epoch: 45	Training accuracy: 0.781333	Validation Accuracy: 0.435
Epoch: 46	Training accuracy: 0.778111	Validation Accuracy: 0.428
Epoch: 47	Training accuracy: 0.799111	Validation Accuracy: 0.423
Epoch: 48	Training accuracy: 0.810333	Validation Accuracy: 0.425
Epoch: 49	Training accuracy: 0.776889	Validation Accuracy: 0.419
Epoch: 50	Training accuracy: 0.811778	Validation Accuracy: 0.429
